Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;56710;
e6.ecore;39;41;78;80;40;13;4;43.0;622.0;761.0;0.93702495;188.0;4810;
a3.ecore;21;0;19;21;9;3;4;11.2;23.0;30.0;0.4;54.0;2867;
c19.ecore;45;0;32;45;42;3;4;25.2;42.0;49.0;0.693662;29.113207;9550;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;14901;
c2.ecore;45;0;32;45;41;3;4;25.0;42.0;49.0;0.69611305;114.0;38356;
b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;482;
d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;4784;
b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;4236;
d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;6314;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;30023;
e11.ecore;39;41;78;80;37;13;4;42.4;570.0;709.0;0.93192774;188.0;4632;
e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;27790;
e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;12047;
c9.ecore;46;0;31;46;38;1;4;24.0;15.0;22.0;0.51445085;117.0;8848;
a15.ecore;12;0;14;12;7;2;3;7.6;9.0;13.0;0.26923078;32.0;7435;
c14.ecore;47;0;32;47;40;3;4;25.2;43.0;50.0;0.6979167;120.0;2995;
a12.ecore;20;0;18;20;8;3;4;10.6;14.0;21.0;0.24324325;51.0;3877;
b3.ecore;12;2;10;14;13;1;2;8.0;4.0;18.0;0.34146342;33.0;2005;
e18.ecore;39;39;78;78;42;13;4;43.0;623.0;756.0;0.9369565;184.0;2061;
a16.ecore;8;0;15;8;7;3;2;7.0;16.0;19.0;0.3181818;21.0;6014;
c11.ecore;;;;;;;;;;;;;;
d6.ecore;;;;;;;;;;;;;;
b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2962;
a2.ecore;15;0;20;15;9;3;3;10.0;25.0;30.0;0.44186047;40.0;1872;
e2.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;52987;
e10.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.93675673;188.0;4502;
c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;10075;
b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;10511;
d1.ecore;3;0;3;3;2;1;1;2.0;2.0;3.0;0.375;1.5;5291;
c12.ecore;46;0;32;46;42;3;4;25.4;41.0;48.0;0.6575875;117.0;10923;
a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;11057;
d7.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;6.0833335;5717;
b13.ecore;17;2;11;19;14;1;2;9.4;5.0;19.0;0.3529412;48.0;1406;
e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;4567;
a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;753;
b17.ecore;16;2;10;18;14;1;2;9.0;5.0;19.0;0.3846154;45.0;500;
a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;820;
c13.ecore;48;0;33;48;40;3;4;25.6;44.0;51.0;0.7016949;123.0;317;
d3.ecore;5;0;3;5;1;1;1;2.2;2.0;4.0;0.4;2.5;7641;
c4.ecore;16;0;10;16;12;1;2;8.2;4.0;12.0;0.31707317;-41.0;915;
d19.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;3603;
d16.ecore;4;0;4;4;1;1;1;2.2;3.0;4.0;0.44444445;2.0;12016;
e5.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;11952;
a17.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;5722;
a7.ecore;12;0;17;12;9;3;2;8.6;20.0;25.0;0.36363637;30.0;14014;
e7.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;22388;
a11.ecore;16;0;19;16;9;3;4;10.2;24.0;29.0;0.4318182;42.0;11491;
a9.ecore;9;0;15;9;9;2;3;7.6;10.0;15.0;0.41935483;22.0;8792;
b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;13202;
a1.ecore;15;0;17;15;8;3;2;9.0;16.0;22.0;0.2580645;38.0;11845;
c7.ecore;47;0;33;47;42;3;4;25.8;44.0;51.0;0.6993243;120.0;1545;
a19.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;2303;
a5.ecore;20;0;19;20;10;3;3;11.0;24.0;31.0;0.4;50.0;13760;
c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;9215;
b9.ecore;15;0;9;15;8;1;1;6.8;4.0;14.0;0.3611111;41.0;54520;
c5.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;25362;
e19.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;2337;
b10.ecore;17;0;10;17;14;1;2;8.8;4.0;13.0;0.34042552;46.0;1103;
b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;3980;
d10.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3529412;48.0;58152;
d15.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;3260;
d8.ecore;;;;;;;;;;;;;;
e15.ecore;41;37;78;78;40;13;3;42.4;625.0;754.0;0.93807715;183.0;32420;
d17.ecore;2;0;3;2;1;1;1;1.6;2.0;3.0;0.4;1.0;2215;
c18.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;14927;
e4.ecore;39;41;78;80;42;13;4;43.4;617.0;756.0;0.9352715;188.0;5448;
d13.ecore;3;0;3;3;1;1;1;1.8;2.0;4.0;0.33333334;1.5;21764;
b19.ecore;16;2;11;18;14;1;1;9.0;5.0;20.0;0.3469388;45.0;44306;
e16.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;68782;
c3.ecore;17;2;10;19;10;1;1;8.2;2.0;18.0;0.17142858;48.0;34419;
b2.ecore;18;2;11;20;14;1;2;9.6;5.0;22.0;0.37037036;50.0;4350;
c10.ecore;48;0;32;48;41;3;4;25.6;44.0;51.0;0.6993243;123.0;8917;
e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;8396;
c16.ecore;48;0;33;48;39;3;4;25.4;44.0;52.0;0.6892857;123.0;3084;
b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;575;
d2.ecore;3;0;3;3;2;1;1;2.0;2.0;4.0;0.44444445;1.5;2992;
d4.ecore;3;0;3;3;1;1;0;1.6;2.0;3.0;0.5;7.0;385;
c17.ecore;48;0;32;48;41;3;4;25.6;43.0;50.0;0.69310343;123.0;2066;
d18.ecore;4;0;4;4;1;1;1;2.2;3.0;5.0;0.375;2.0;5707;
b12.ecore;17;0;10;17;13;1;2;8.6;4.0;14.0;0.3478261;46.0;3348;
a14.ecore;21;0;17;21;4;3;3;9.6;17.0;24.0;0.34210527;54.0;9851;
