Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/BestWeight02/0_e18.ecore;39;39;78;78;42;13;4;43.0;623.0;756.0;0.9369565;184.0;2061;
./model/BestWeight02/10_b7.ecore;15;0;9;15;14;1;2;8.2;3.0;11.0;0.29268292;41.0;5413;
./model/BestWeight02/11_c17.ecore;48;0;32;48;41;3;4;25.6;43.0;50.0;0.69310343;123.0;2066;
./model/BestWeight02/12_b3.ecore;12;2;10;14;13;1;2;8.0;4.0;18.0;0.34146342;33.0;2005;
./model/BestWeight02/13_c13.ecore;48;0;33;48;40;3;4;25.6;44.0;51.0;0.7016949;123.0;317;
./model/BestWeight02/14_b17.ecore;16;2;10;18;14;1;2;9.0;5.0;19.0;0.3846154;45.0;500;
./model/BestWeight02/15_a16.ecore;8;0;15;8;7;3;2;7.0;16.0;19.0;0.3181818;21.0;6014;
./model/BestWeight02/16_d2.ecore;3;0;3;3;2;1;1;2.0;2.0;4.0;0.44444445;1.5;2992;
./model/BestWeight02/17_d0.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.44444445;5.2783504;415;
./model/BestWeight02/18_d18.ecore;4;0;4;4;1;1;1;2.2;3.0;5.0;0.375;2.0;5707;
./model/BestWeight02/19_c8.ecore;48;0;32;48;41;3;4;25.6;41.0;48.0;0.6866197;123.0;874;
./model/BestWeight02/1_a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;753;
./model/BestWeight02/20_a14.ecore;21;0;17;21;4;3;3;9.6;17.0;24.0;0.34210527;54.0;9851;
./model/BestWeight02/21_b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2672;
./model/BestWeight02/22_e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;4567;
./model/BestWeight02/24_b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2962;
./model/BestWeight02/25_d7.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;6.0833335;5717;
./model/BestWeight02/26_a13.ecore;14;0;17;14;9;3;3;9.2;13.0;18.0;0.17857143;36.0;17325;
./model/BestWeight02/27_b12.ecore;17;0;10;17;13;1;2;8.6;4.0;14.0;0.3478261;46.0;3348;
./model/BestWeight02/28_b6.ecore;18;2;11;20;13;1;2;9.4;5.0;21.0;0.3773585;51.0;8469;
./model/BestWeight02/29_c16.ecore;48;0;33;48;39;3;4;25.4;44.0;52.0;0.6892857;123.0;3084;
./model/BestWeight02/2_c15.ecore;48;0;33;48;39;3;4;25.4;44.0;52.0;0.6892857;123.0;1007;
./model/BestWeight02/30_c14.ecore;47;0;32;47;40;3;4;25.2;43.0;50.0;0.6979167;120.0;2995;
./model/BestWeight02/31_b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;482;
./model/BestWeight02/32_a9.ecore;9;0;15;9;9;2;3;7.6;10.0;15.0;0.41935483;22.0;8792;
./model/BestWeight02/33_e19.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;2337;
./model/BestWeight02/34_b10.ecore;17;0;10;17;14;1;2;8.8;4.0;13.0;0.34042552;46.0;1103;
./model/BestWeight02/35_a11.ecore;16;0;19;16;9;3;4;10.2;24.0;29.0;0.4318182;42.0;11491;
./model/BestWeight02/36_d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;4784;
./model/BestWeight02/37_a15.ecore;12;0;14;12;7;2;3;7.6;9.0;13.0;0.26923078;32.0;7435;
./model/BestWeight02/38_b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;4236;
