Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;15586;
e6.ecore;39;41;78;80;40;13;4;43.0;622.0;761.0;0.93702495;188.0;4316;
a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;4119;
c19.ecore;45;0;32;45;42;3;4;25.2;42.0;49.0;0.693662;29.113207;5287;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;4030;
c2.ecore;44;0;32;44;41;3;4;24.8;42.0;48.0;0.6985816;112.0;4012;
b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;546;
d5.ecore;17;2;11;19;12;1;2;9.0;5.0;20.0;0.36734694;47.0;698;
b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;929;
d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;1078;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;38;41;79;79;42;13;4;43.4;629.0;768.0;0.93682504;186.0;9023;
e11.ecore;39;41;78;80;37;13;4;42.4;570.0;709.0;0.93192774;188.0;4450;
e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;29830;
e13.ecore;33;39;78;72;42;11;4;41.4;472.0;600.0;0.9269103;168.0;10856;
c9.ecore;46;0;31;46;39;1;4;24.2;15.0;22.0;0.5114943;117.0;2913;
a15.ecore;11;0;14;11;8;2;3;7.6;9.0;12.0;0.26923078;30.0;1589;
c14.ecore;48;0;32;48;40;3;4;25.4;43.0;50.0;0.69550174;123.0;1296;
a12.ecore;20;0;17;20;8;2;4;10.2;11.0;17.0;0.1764706;52.0;778;
b3.ecore;11;2;10;13;13;1;2;7.8;4.0;17.0;0.31578946;30.0;319;
