Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/ClosestDistance/0_e18.ecore;39;39;78;78;42;13;4;43.0;623.0;756.0;0.9369565;184.0;2120;
./model/ClosestDistance/10_b7.ecore;15;0;9;15;14;1;2;8.2;3.0;11.0;0.29268292;41.0;1420;
./model/ClosestDistance/11_c17.ecore;47;0;32;47;41;3;5;25.6;43.0;50.0;0.69550174;120.0;731;
./model/ClosestDistance/12_b3.ecore;11;2;10;13;13;1;2;7.8;4.0;17.0;0.31578946;30.0;319;
./model/ClosestDistance/13_c13.ecore;48;0;33;48;40;3;4;25.6;44.0;51.0;0.7016949;123.0;479;
./model/ClosestDistance/14_b17.ecore;16;2;10;18;14;1;2;9.0;5.0;19.0;0.3846154;45.0;419;
./model/ClosestDistance/15_a16.ecore;8;0;15;8;8;3;2;7.2;16.0;19.0;0.3043478;21.0;112;
./model/ClosestDistance/16_d2.ecore;2;0;2;2;2;1;0;1.4;1.0;2.0;0.0;1.0;498;
./model/ClosestDistance/17_d0.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.44444445;5.2783504;632;
./model/ClosestDistance/18_d18.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;866;
./model/ClosestDistance/19_c8.ecore;48;0;32;48;41;3;4;25.6;41.0;48.0;0.6866197;123.0;312;
./model/ClosestDistance/1_a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;816;
./model/ClosestDistance/20_a14.ecore;20;0;16;20;2;3;3;8.8;17.0;24.0;0.37142858;51.0;2754;
./model/ClosestDistance/21_b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;746;
./model/ClosestDistance/22_e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;3039;
./model/ClosestDistance/24_b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;994;
./model/ClosestDistance/25_d7.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.375;6.0833335;2383;
./model/ClosestDistance/26_a13.ecore;16;0;17;16;9;3;3;9.6;13.0;20.0;0.16666667;40.0;6028;
./model/ClosestDistance/27_b12.ecore;17;0;10;17;13;1;2;8.6;4.0;14.0;0.3478261;46.0;906;
./model/ClosestDistance/28_b6.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;1559;
./model/ClosestDistance/29_c16.ecore;48;0;33;48;39;3;4;25.4;44.0;52.0;0.6892857;123.0;1321;
./model/ClosestDistance/2_c15.ecore;47;0;33;47;40;3;4;25.4;44.0;51.0;0.68705034;120.0;1118;
./model/ClosestDistance/30_c14.ecore;48;0;32;48;40;3;4;25.4;43.0;50.0;0.69550174;123.0;1296;
./model/ClosestDistance/31_b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;546;
./model/ClosestDistance/32_a9.ecore;11;0;15;11;9;2;3;8.0;10.0;15.0;0.4117647;27.0;4364;
