Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;12;0;0;3;0;3.0;1.75;1.75;NaN;NaN;22497;267;18424;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;18810;251;18357;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;18983;369;18499;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;32486;13636;18628;
idc.ecore;61;18;73;79;45;7;6;42.0;3.2465754;79.246574;0.75298804;177.0;50251;30127;19822;
ddic.ecore;9;10;20;19;49;4;1;18.6;2.4;34.4;0.2;42.0;29044;8490;18809;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;19258;358;18739;
GUIdancerComponentHierarchy.ecore;0;0;9;0;0;2;0;2.2;1.6666666;1.6666666;NaN;NaN;66864;238;19201;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;34135;14346;19455;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;20928;1650;18946;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;21304;256;19175;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;19750;255;19192;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;19966;448;19247;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;24649;4561;19663;
family.ecore;7;0;4;7;5;0;2;3.6;1.0;6.0;0.0;17.0;21284;194;19444;
org.eclipse.component.api.ecore;8;0;7;8;27;0;4;9.2;1.0;1.0;0.0;10.0;20858;611;19598;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;8.538462;0.2795699;49.0;28148;7435;19749;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;20250;260;19765;
