Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;12;0;0;2;0;2.8;1.8333334;1.8333334;NaN;NaN;13476;981;5280;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;4870;436;3967;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;4513;648;3659;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;15680;11840;3113;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;25734;21297;3891;
ddic.ecore;9;10;20;19;49;4;1;18.6;2.4;37.4;0.2;45.0;14668;7870;3997;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;4729;432;3222;
GUIdancerComponentHierarchy.ecore;0;0;6;0;0;1;0;1.4;1.3333334;1.3333334;NaN;NaN;53607;260;3342;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;16669;12005;3461;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;6019;1879;3535;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;6239;345;3696;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;4238;320;3783;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;6442;593;4134;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;12547;5736;5019;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;7606;306;5003;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;7942;853;4977;
tableur_modifie.ecore;;;;;;;;;;;;;5233;245;4909;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;8.538462;0.2795699;49.0;14590;7689;4947;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;6988;336;4696;
openome_model.ecore;;;;;;;;;;;;;11245;5502;5591;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;31;1;2;13.6;1.7692307;3.7692308;0.78918916;18.0;8237;1584;5034;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;10288;1335;5347;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;8455;382;5224;
aggregator_1.0.0.ecore;;;;;;;;;;;;;57609;47105;6124;
eclipsecon.ecore;11;0;9;11;10;1;4;7.0;1.1111112;5.111111;0.045454547;4.179487;7477;355;4347;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;7290;469;5106;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;2.8333333;0.8333333;NaN;8777;320;5544;
bpmn20.ecore;181;32;137;213;102;6;7;93.0;3.5401459;184.54015;0.77754235;227.66667;337392;0;9057;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;1.3333334;0.0;6.0;10166;481;5397;
plsql.ecore;64;0;66;64;34;3;3;34.0;2.530303;9.530303;0.15517241;149.0;25362;14809;6004;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;10175;399;5570;
esx.ecore;28;0;38;28;173;6;2;49.4;1.7631578;2.7631578;0.41569766;1.5007875;89828;76202;5983;
