Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;1;0;2.4;1.3636364;1.3636364;NaN;NaN;38635;263;34911;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;35819;226;35390;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;36259;356;35751;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;47905;12493;35123;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;63378;26633;36441;
ddic.ecore;9;10;20;19;49;4;1;18.6;2.4;37.4;0.2;45.0;43778;6729;35299;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;36270;360;35654;
GUIdancerComponentHierarchy.ecore;0;0;9;0;0;2;0;2.2;1.7777778;1.7777778;NaN;NaN;81867;246;35975;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;49270;13195;35677;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;37960;1585;35862;
GSML.ecore;6;0;7;6;7;1;2;4.6;1.2857143;2.2857141;0.31578946;12.0;37124;287;35973;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;36824;251;36378;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;36923;447;36325;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;40570;4454;35819;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;36730;200;36156;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;37834;603;36712;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;16.538462;0.2795699;57.0;42187;5235;36377;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;37218;270;36721;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;32;1;2;13.8;1.7692307;3.7692308;0.78494626;18.0;38826;1236;37353;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;40533;1056;36994;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;37574;287;36971;
aggregator_1.0.0.ecore;;;;;;;;;;;;;99342;58483;39796;
eclipsecon.ecore;10;0;9;10;10;1;2;6.4;1.1111112;5.111111;0.04761905;4.1282053;7934;287;7399;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;37082;352;36135;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;39048;255;38387;
bpmn20.ecore;181;32;137;213;103;6;7;93.2;3.5401459;184.54015;0.7777778;227.66667;468524;0;41370;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;3.3333335;0.0;8.0;39128;423;37967;
plsql.ecore;64;0;66;64;35;3;3;34.2;2.530303;9.530303;0.15384616;149.0;54116;14968;38272;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;38913;325;37897;
esx.ecore;28;0;38;28;173;6;2;49.4;1.7631578;2.7631578;0.41569766;1.5007875;151780;105825;38197;
Screens.ecore;6;2;13;8;15;1;1;7.6;1.6923077;9.692307;0.5660377;14.0;42281;393;37952;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;43747;4069;38811;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;40067;1125;38458;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;40970;510;38687;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;54865;14916;38618;
FacesConfig.ecore;293;0;123;293;183;1;2;120.4;1.1219512;13.121951;0.08637236;371.0;1172522;1122898;46659;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;72510;33181;38194;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;39551;594;37880;
aggregator_0.9.0.ecore;;;;;;;;;;;;;99893;59225;39104;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;2.0;0.0;13.0;40163;255;37953;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;39602;169;38190;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;41050;1010;39376;
FoundationModel.ecore;39;0;36;39;78;2;6;32.2;1.25;28.25;0.26875;81.0;55021;14501;38586;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;50277;5551;39590;
IMS_Data_CLI.ecore;;;;;;;;;;;;;39730;194;39046;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;45474;132;38563;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;46818;6279;39134;
COOPNMetaModel.ecore;74;176;96;250;60;2;3;82.2;1.1979166;501.1979;0.1598916;226.0;1063867;771143;45163;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
