Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;2;0;2.6;1.6363636;1.6363636;NaN;NaN;29801;245;25993;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;26599;221;26138;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;26509;356;26016;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;39406;13284;25907;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;55795;28374;27118;
ddic.ecore;9;10;20;19;49;4;1;18.6;2.4;36.4;0.2;44.0;37216;8099;27058;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;27319;362;26223;
GUIdancerComponentHierarchy.ecore;0;0;9;0;0;2;0;2.2;1.7777778;1.7777778;NaN;NaN;70619;223;26466;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;41067;14226;26512;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;28482;1595;26485;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;28876;254;26548;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;27226;246;26836;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;27434;429;26853;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;32926;4560;27386;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;29248;192;27316;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;1.0;0.0;12.0;28195;590;27114;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;16.538462;0.2795699;57.0;36022;6940;27019;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;28743;251;27090;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;31;1;2;13.6;1.7692307;3.7692308;0.78918916;18.0;29629;1229;27316;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;30961;1052;27418;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;28070;287;27555;
aggregator_1.0.0.ecore;;;;;;;;;;;;;92240;62063;28750;
eclipsecon.ecore;11;0;9;11;10;1;4;7.0;1.1111112;5.111111;0.045454547;4.179487;8045;315;7319;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;20746;332;19430;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;19869;221;19296;
bpmn20.ecore;181;32;137;213;102;6;7;93.0;3.5401459;184.54015;0.77754235;227.66667;700788;0;33078;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;3.3333335;0.0;8.0;29856;383;28889;
plsql.ecore;64;0;66;64;34;3;3;34.0;2.530303;9.530303;0.15517241;149.0;49763;16217;30309;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;30550;338;29419;
esx.ecore;28;0;38;28;171;6;2;49.0;1.7631578;2.7631578;0.41812867;1.5007875;168324;131274;29394;
Screens.ecore;6;2;13;8;15;1;1;7.6;1.6923077;9.692307;0.5660377;14.0;33086;388;28457;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;38468;4115;29861;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;34391;1191;32485;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;37285;527;34907;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;51066;15898;31338;
FacesConfig.ecore;294;0;123;294;183;1;2;120.6;1.1219512;14.121951;0.0862069;374.0;1646087;1605052;36470;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;66489;32225;29445;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;33082;589;29321;
aggregator_0.9.0.ecore;;;;;;;;;;;;;92601;59406;30543;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;3.0;0.0;4.5;30823;260;29467;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;30725;168;29593;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;35533;1008;29828;
FoundationModel.ecore;39;0;36;39;78;2;6;32.2;1.25;28.25;0.26875;81.0;46656;14374;30025;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;46647;5451;31134;
IMS_Data_CLI.ecore;;;;;;;;;;;;;30813;206;29786;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;31833;147;30632;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;39156;6182;30547;
COOPNMetaModel.ecore;70;176;96;246;60;2;3;81.4;1.1979166;496.1979;0.16164383;218.33333;899981;640227;33894;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;31564;432;30584;
xwt09_updating.ecore;;;;;;;;;;;;;4724413;4129502;34773;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;39085;496;32799;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;516113;478386;33358;
PF31.ecore;20;0;10;20;96;0;2;25.6;1.0;21.0;0.0;14.333333;50131;15548;30973;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;154;2;3;65.4;2.0253165;8.025316;0.14736842;198.0;599417;387334;31743;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;36370;302;30782;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;76047;15240;30977;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;36490;220;30953;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;50907;0;32151;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;38985;192;31082;
sequence_diagram.ecore;;;;;;;;;;;;;49496;428;31217;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;68864;1354;31710;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;119130;36835;34487;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;88585;661;33726;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;4;10;5;14;28;1;1;9.8;1.2;24.2;0.1923077;40.0;89321;5252;33029;
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;115697;46305;32784;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;102217;9537;33100;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;364531;0;39419;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;7;0;4;7;5;0;1;3.4;1.0;1.0;0.0;4.5;46491;422;32639;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;11;0;7;11;14;0;2;6.8;1.0;1.0;0.0;6.0;49680;390;32705;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;93833;3740;32571;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;861414;782248;34583;
bpmn20_ttc.ecore;;;;;;;;;;;;;2331686;2285116;37879;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;98978;12673;33034;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;39652;190;32715;
pom.ecore;54;0;39;54;137;1;3;46.8;1.0256411;21.02564;0.035353534;121.0;662364;71301;33842;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;47855;1021;33199;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;89365;305;32967;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;36153;2197;33550;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;6.0;0.0;16.0;119778;346;33503;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;46149;9167;35771;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;60063;7127;38008;
glucose.ecore;5;2;6;7;36;1;2;10.4;1.5;9.5;0.35820895;15.0;73177;976;37117;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;35841;436;34889;
SVG.ecore;2;0;85;2;401;10;1;99.8;5.0588236;5.0588236;0.8950247;4.0;3086620;2276890;35432;
