Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;1;0;2.4;1.2727273;1.2727273;NaN;NaN;15234;282;10982;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;11716;258;11245;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;11413;402;10865;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;24442;13181;11034;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;39154;26875;11940;
ddic.ecore;8;10;20;18;49;4;1;18.4;2.4;36.4;0.20238096;42.0;20185;7097;11056;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;11776;383;11202;
GUIdancerComponentHierarchy.ecore;0;0;5;0;0;0;0;1.0;1.0;1.0;NaN;NaN;59676;245;11090;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;25760;13783;11634;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;13293;1676;11318;
GSML.ecore;6;0;7;6;7;1;2;4.6;1.2857143;2.2857141;0.31578946;12.0;13419;280;11449;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;11920;263;11448;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;12274;451;11608;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;17271;4616;12343;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;13698;208;11809;
org.eclipse.component.api.ecore;8;0;7;8;27;0;4;9.2;1.0;1.0;0.0;10.0;13361;665;12158;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;8.538462;0.2795699;49.0;19532;5975;12278;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;13189;281;12114;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;31;1;2;13.6;1.7692307;3.7692308;0.78918916;18.0;14182;1318;12337;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;16339;1154;12513;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;13158;321;12492;
aggregator_1.0.0.ecore;;;;;;;;;;;;;70339;55166;13657;
eclipsecon.ecore;11;0;9;11;10;1;4;7.0;1.1111112;5.111111;0.045454547;4.179487;12011;295;11437;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;12415;355;11677;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;13925;258;12987;
bpmn20.ecore;181;32;137;213;103;6;7;93.2;3.5401459;184.54015;0.7777778;227.66667;402248;0;16117;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;5;0;3;5;8;1;2;3.8;1.3333334;2.3333335;0.0;5.0;14280;434;12737;
plsql.ecore;64;0;66;64;35;3;3;34.2;2.530303;9.530303;0.15384616;149.0;29691;15583;13696;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;13941;362;13115;
esx.ecore;28;0;38;28;174;6;2;49.6;1.7631578;2.7631578;0.41449276;1.5007875;125784;103487;13493;
Screens.ecore;6;2;13;8;16;1;1;7.8;1.6923077;9.692307;0.5555556;14.0;15948;410;13537;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;38;3;2;22.8;2.3461537;16.346153;0.7046263;110.0;19449;4095;13555;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;15964;1150;13625;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;15135;543;13832;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;28656;14171;13713;
FacesConfig.ecore;293;0;123;293;183;1;2;120.4;1.1219512;13.121951;0.08637236;371.0;1023898;999847;20964;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;37197;21757;14190;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;15674;681;14410;
aggregator_0.9.0.ecore;;;;;;;;;;;;;65751;48357;15341;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;8;0;4;8;10;0;1;4.6;1.0;2.0;0.0;4.0;17191;293;13879;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;16225;183;14105;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;15991;1085;14171;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;36957;13320;14383;
RandL.ecore;28;28;15;56;37;1;3;22.4;1.1333333;98.13333;0.114285715;136.0;27293;5583;15581;
IMS_Data_CLI.ecore;;;;;;;;;;;;;15717;222;14242;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;15568;159;14301;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;22245;5619;14718;
COOPNMetaModel.ecore;73;174;96;247;60;2;3;81.6;1.1979166;496.1979;0.15659341;223.33333;660178;391741;18054;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;25605;700;24147;
xwt09_updating.ecore;;;;;;;;;;;;;6356974;6032110;31781;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;23762;755;21774;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;503410;479694;21859;
PF31.ecore;20;0;10;20;96;0;2;25.6;1.0;21.0;0.0;14.333333;48952;20614;20109;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;151;2;3;64.8;2.0253165;8.025316;0.14893617;198.0;681486;389552;20318;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;26157;441;20416;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;49951;21478;20056;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;36350;340;20805;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;60542;0;23316;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;35621;302;22726;
sequence_diagram.ecore;;;;;;;;;;;;;37744;636;21279;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;29408;2156;22534;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;71412;47702;22922;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;41772;951;24030;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;28;1;1;10.0;1.2;25.2;0.18867925;43.0;55153;7325;22351;
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;125862;57160;21357;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;45560;11944;20471;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;305962;0;27512;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;9;0;4;9;5;0;1;3.8;1.0;2.0;0.0;11.0;40974;670;25059;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;12;0;7;12;14;0;1;6.8;1.0;1.0;0.0;8.0;31428;757;24181;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;51716;6521;27650;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;800534;761870;25387;
bpmn20_ttc.ecore;;;;;;;;;;;;;2150738;2112008;30476;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;54407;19562;26915;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;30633;385;29856;
pom.ecore;51;0;39;51;137;1;3;46.2;1.0256411;14.025641;0.030927835;108.0;861798;76377;23320;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;30249;1446;23627;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;24933;469;23907;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;46142;4702;29430;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;6.0;0.0;16.0;178226;535;24701;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;37875;11939;24254;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;45351;7528;22926;
glucose.ecore;5;2;6;7;36;1;2;10.4;1.5;9.5;0.35820895;15.0;77065;1313;22263;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;30287;639;24756;
SVG.ecore;2;0;85;2;398;10;1;99.2;5.0588236;5.0588236;0.8929909;4.0;2924650;2075460;20707;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;25420;175;17765;
fxg.ecore;37;0;52;37;269;4;3;73.0;2.5576923;3.5576923;0.19685039;82.0;760902;650008;18596;
com.ibm.commerce.member.datatypes.ecore;31;0;9;31;33;1;2;15.2;1.2222222;2.2222223;0.0;50.0;43066;0;17980;
activityDiagram.ecore;;;;;;;;;;;;;-1;0;0;
ATL.ecore;;;;;;;;;;;;;-1;0;0;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;27437;1168;18027;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;22769;304;18308;
com.ibm.commerce.foundation.datatypes.ecore;59;0;32;59;56;1;3;30.2;1.0625;2.0625;0.049586777;24.0;43513;11402;19076;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
