Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;2;0;2.6;1.7272727;1.7272727;NaN;NaN;45052;314;40335;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;40550;294;40014;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;40302;439;39714;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;55489;16095;39171;
idc.ecore;61;18;73;79;45;7;6;42.0;3.2465754;79.246574;0.75298804;177.0;73029;33678;39017;
ddic.ecore;8;10;20;18;49;4;1;18.4;2.4;36.4;0.20238096;42.0;49887;7876;39947;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;41317;469;40385;
GUIdancerComponentHierarchy.ecore;0;0;8;0;0;1;0;1.8;1.25;1.25;NaN;NaN;90859;283;41174;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;57760;17356;40011;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;43287;2107;40749;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;43962;319;41337;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;41589;321;40994;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;42037;567;40973;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;47439;5761;41359;
family.ecore;7;0;4;7;5;0;2;3.6;1.0;6.0;0.0;17.0;43807;246;41638;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;43864;802;41692;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;8.538462;0.2795699;49.0;49186;6033;41602;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;42636;326;41959;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
