Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;2;0;2.6;1.8181819;1.8181819;NaN;NaN;30844;918;22924;
rad.ecore;0;6;6;6;9;2;0;4.6;2.0;19.0;0.61538464;13.0;17857;339;17066;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;17447;459;16713;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;29949;12594;16541;
idc.ecore;61;18;73;79;45;7;6;42.0;3.2465754;79.246574;0.75298804;177.0;42617;24610;17496;
ddic.ecore;8;10;20;18;49;4;1;18.4;2.4;36.4;0.20238096;42.0;26530;6180;18382;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;19550;446;18102;
GUIdancerComponentHierarchy.ecore;0;0;9;0;0;1;0;2.0;1.1111112;1.1111112;NaN;NaN;63205;272;18426;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;32864;14002;17942;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;20493;1872;18297;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;24259;338;20902;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;20524;312;19039;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;20674;530;18905;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;25242;4997;18929;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;20838;237;18945;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;21523;742;19093;
tableur_modifie.ecore;;;;;;;;;;;;;19425;190;19147;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;16.538462;0.2795699;57.0;26601;5137;19121;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;19679;309;19194;
openome_model.ecore;;;;;;;;;;;;;24488;4809;19535;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;32;1;2;13.8;1.7692307;3.7692308;0.78494626;18.0;21537;1510;19759;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;23762;1240;19707;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;20100;339;19618;
aggregator_1.0.0.ecore;;;;;;;;;;;;;69099;46963;19328;
eclipsecon.ecore;11;0;9;11;10;1;4;7.0;1.1111112;5.111111;0.045454547;4.179487;6487;314;6038;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;21157;398;19539;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;22144;282;19588;
bpmn20.ecore;181;32;137;213;102;6;7;93.0;3.5401459;184.54015;0.77754235;227.66667;369536;0;21733;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;3.3333335;0.0;8.0;21807;440;18389;
plsql.ecore;64;0;66;64;34;3;3;34.0;2.530303;9.530303;0.15517241;149.0;36409;14341;19182;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;22527;364;18722;
esx.ecore;28;0;38;28;174;6;2;49.6;1.7631578;2.7631578;0.41449276;1.5007875;116353;89517;19406;
Screens.ecore;6;2;13;8;15;1;1;7.6;1.6923077;9.692307;0.5660377;14.0;24094;414;18954;
diagramrt.ecore;;;;;;;;;;;;;19257;352;18793;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;28079;4103;19263;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;23418;1153;19161;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;23942;525;19272;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;37844;14532;19312;
FacesConfig.ecore;294;0;123;294;183;1;2;120.6;1.1219512;14.121951;0.0862069;374.0;1054669;1021514;26487;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;51907;26802;19821;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;21536;691;20068;
aggregator_0.9.0.ecore;;;;;;;;;;;;;82595;55940;20746;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;3.0;0.0;4.5;25607;280;19657;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;23912;179;19629;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;24949;1125;20298;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;46265;14374;20311;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;31985;5824;21295;
IMS_Data_CLI.ecore;;;;;;;;;;;;;27320;211;20137;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;27885;147;20252;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;32455;6316;20679;
COOPNMetaModel.ecore;76;170;96;246;60;2;3;81.4;1.1979166;487.1979;0.16164383;221.66667;714228;450991;23400;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;22634;476;20906;
