Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;10;0;0;2;0;2.4;1.4;1.4;NaN;NaN;54466;267;50500;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;50883;231;50431;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;51404;370;50872;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;65823;13777;51819;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;74415;23207;50916;
ddic.ecore;10;10;20;20;49;4;1;18.8;2.4;37.4;0.19767442;47.0;58845;6227;51217;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;52150;367;51617;
GUIdancerComponentHierarchy.ecore;0;0;7;0;0;0;0;1.4;1.0;1.0;NaN;NaN;95565;238;52154;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;66070;14679;51016;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;53701;1666;51609;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;52592;294;51556;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;51835;262;51446;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;52716;480;52032;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;57282;4662;52397;
family.ecore;8;0;4;8;5;0;2;3.8;1.0;7.0;0.0;19.0;52728;204;51925;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;53749;623;52474;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;16.538462;0.2795699;57.0;58979;4884;52939;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;52830;270;52336;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;31;1;2;13.6;1.7692307;3.7692308;0.78918916;18.0;57019;1350;55281;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;58456;1145;54875;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;55032;305;54258;
aggregator_1.0.0.ecore;;;;;;;;;;;;;116886;61031;54879;
eclipsecon.ecore;10;0;9;10;10;1;2;6.4;1.1111112;5.111111;0.04761905;4.1282053;9480;297;8823;
backbone.ecore;9;8;11;17;3;1;4;7.2;1.8181819;25.818182;0.31034482;35.0;36939;356;36244;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;38137;259;37435;
bpmn20.ecore;181;32;137;213;102;6;7;93.0;3.5401459;184.54015;0.77754235;227.66667;604834;0;42027;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;3.3333335;0.0;8.0;39741;436;38032;
plsql.ecore;64;0;66;64;34;3;3;34.0;2.530303;9.530303;0.15517241;149.0;55905;15949;39463;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;39429;352;37790;
esx.ecore;28;0;38;28;174;6;2;49.6;1.7631578;2.7631578;0.41449276;1.5007875;172195;126060;38971;
Screens.ecore;6;2;13;8;16;1;1;7.8;1.6923077;9.692307;0.5555556;14.0;40803;406;38071;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;44626;4337;38876;
mulemodel.ecore;24;0;24;24;19;1;3;14.2;1.5416666;9.541667;0.4027778;59.0;40887;1173;38700;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;40002;532;38650;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;56290;15823;39037;
FacesConfig.ecore;294;0;123;294;183;1;2;120.6;1.1219512;14.121951;0.0862069;374.0;1335571;1287504;45483;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;70802;30934;38892;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;40334;650;38953;
aggregator_0.9.0.ecore;;;;;;;;;;;;;96316;54527;40072;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;2.0;0.0;13.0;41672;277;38960;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;40499;182;39112;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;41334;1122;39342;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;55726;14297;39628;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;51386;5631;40458;
IMS_Data_CLI.ecore;;;;;;;;;;;;;39574;210;39212;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;46356;146;39505;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;47311;6461;39894;
COOPNMetaModel.ecore;75;176;96;251;60;2;3;82.4;1.1979166;502.1979;0.15945946;227.66667;693498;420356;42266;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;41753;475;40429;
xwt09_updating.ecore;;;;;;;;;;;;;4464565;4124840;42887;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;41811;483;40255;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;434564;390139;42303;
PF31.ecore;20;0;10;20;95;0;2;25.4;1.0;21.0;0.0;14.333333;59317;15249;39843;
