Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
CompleteGUIdancerComponentHierarchy.ecore;0;0;11;0;0;2;0;2.6;1.7272727;1.7272727;NaN;NaN;28768;287;24838;
rad.ecore;0;6;6;6;10;2;0;4.8;2.0;19.0;0.6;13.0;25772;251;25195;
rental.ecore;6;6;6;12;15;0;2;7.0;1.0;19.0;0.0;21.0;25760;391;25230;
General.ecore;14;2;16;16;91;1;5;25.8;1.125;18.125;0.15748031;30.0;38519;13236;25065;
idc.ecore;61;18;73;79;46;7;6;42.2;3.2465754;79.246574;0.75149107;177.0;53367;26867;26152;
ddic.ecore;9;10;20;19;49;4;1;18.6;2.4;36.4;0.2;44.0;32680;5708;25296;
fnmeta.ecore;6;0;6;6;19;1;4;7.2;1.8333334;6.8333335;0.16666667;16.0;26110;396;25300;
GUIdancerComponentHierarchy.ecore;0;0;9;0;0;2;0;2.2;1.5555556;1.5555556;NaN;NaN;65532;236;25507;
esb.ecore;33;0;41;33;79;5;2;32.0;3.0;8.0;0.70526314;74.0;39236;13428;25485;
regiondefinition.ecore;4;0;5;4;46;0;3;11.6;1.0;1.0;0.0;8.0;27929;1695;25255;
GSML.ecore;7;0;7;7;7;1;2;4.8;1.2857143;2.2857141;0.3;15.0;26892;300;25234;
palette.ecore;5;0;4;5;12;1;1;4.6;1.25;4.25;0.055555556;12.0;26272;269;25814;
robmod.ecore;12;2;6;14;17;1;2;8.0;1.3333334;14.333334;0.114285715;40.0;28312;548;27578;
control.ecore;47;0;44;47;20;4;2;23.4;2.9772727;12.977273;0.52816904;90.0;33198;4828;27996;
family.ecore;7;0;4;7;5;0;2;3.6;1.0;6.0;0.0;17.0;30441;219;28500;
org.eclipse.component.api.ecore;9;0;7;9;27;0;4;9.4;1.0;3.0;0.0;14.0;27412;678;26066;
tableur_modifie.ecore;;;;;;;;;;;;;-1;0;0;
abapobj.ecore;20;0;13;20;47;2;1;16.6;1.5384616;8.538462;0.2795699;49.0;31408;4824;25940;
strategy-engine-core.ecore;1;4;5;5;13;1;1;5.0;1.2;13.2;0.25;10.0;27092;273;26032;
openome_model.ecore;;;;;;;;;;;;;-1;0;0;
ATLMLM.ecore;;;;;;;;;;;;;-1;0;0;
imgpro.ecore;8;0;26;8;31;1;2;13.6;1.7692307;3.7692308;0.78918916;18.0;27968;1375;26030;
ICM.ecore;9;4;17;13;32;2;2;13.2;1.7647059;15.764706;0.42307693;32.0;29950;1147;26393;
ServiceDsl.ecore;6;8;9;14;6;2;2;6.6;2.2222223;27.222221;0.52380955;31.0;26873;328;26236;
aggregator_1.0.0.ecore;;;;;;;;;;;;;79570;50812;27461;
eclipsecon.ecore;11;0;9;11;10;1;4;7.0;1.1111112;5.111111;0.045454547;4.179487;23655;308;22398;
backbone.ecore;9;8;11;17;4;1;4;7.4;1.8181819;25.818182;0.3;35.0;19190;350;18644;
XBNFwithCardinality.ecore;1;0;6;1;0;2;1;2.0;2.8333333;3.8333333;0.8333333;1.0;19482;245;19010;
bpmn20.ecore;181;32;137;213;103;6;7;93.2;3.5401459;184.54015;0.7777778;227.66667;375223;0;22166;
org.eclipse.wst.ws.internal.model.v10.uddiregistry.ecore;6;0;3;6;8;1;2;4.0;1.3333334;3.3333335;0.0;8.0;21158;428;19188;
plsql.ecore;64;0;66;64;35;3;3;34.2;2.530303;9.530303;0.15384616;149.0;35642;14826;20039;
nbs.ecore;4;0;14;4;14;3;1;7.2;2.5;2.5;0.6666667;2.0;20355;344;19407;
esx.ecore;28;0;38;28;174;6;2;49.6;1.7631578;2.7631578;0.41449276;1.5007875;119760;92387;20239;
Screens.ecore;6;2;13;8;15;1;1;7.6;1.6923077;9.692307;0.5660377;14.0;23433;400;19565;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;25036;4121;19949;
mulemodel.ecore;24;0;24;24;19;1;3;14.2;1.5416666;9.541667;0.4027778;59.0;21630;1155;19672;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;21399;524;19669;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;38903;14682;20247;
FacesConfig.ecore;294;0;123;294;183;1;2;120.6;1.1219512;14.121951;0.0862069;374.0;979339;948041;27759;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;64183;34691;28461;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;35523;672;28418;
aggregator_0.9.0.ecore;;;;;;;;;;;;;97014;64790;29697;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;3.0;0.0;4.5;29474;269;28404;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;34505;185;28479;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;30171;1152;28694;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;51096;15181;29002;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;40950;5919;29988;
IMS_Data_CLI.ecore;;;;;;;;;;;;;29376;212;28676;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;30319;146;28824;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;37616;6629;29340;
COOPNMetaModel.ecore;74;172;96;246;60;2;4;81.6;1.1979166;493.1979;0.16164383;225.0;883930;620091;31800;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;30239;454;28862;
xwt09_updating.ecore;;;;;;;;;;;;;5107619;4848084;38673;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;39306;690;37698;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;466144;430281;33914;
PF31.ecore;20;0;10;20;94;0;2;25.2;1.0;21.0;0.0;14.333333;62524;18971;33819;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;149;2;3;64.4;2.0253165;8.025316;0.15;198.0;609604;413337;31428;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;40052;397;35977;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;60605;19616;34823;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;44796;279;35373;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;60177;0;36735;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;36469;242;36058;
sequence_diagram.ecore;;;;;;;;;;;;;44266;571;35614;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;44894;1846;37107;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;80132;41753;35399;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;50373;782;36294;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;27;1;1;9.8;1.2;25.2;0.1764706;43.0;56062;5988;36202;
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;117028;52348;33991;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;60071;11305;36262;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;312982;0;38274;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;9;0;4;9;5;0;1;3.8;1.0;3.0;0.0;5.5;39409;511;35302;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;13;0;7;13;14;0;1;7.0;1.0;3.0;0.0;12.0;42780;488;35549;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;47095;4557;35771;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;771494;730206;35761;
bpmn20_ttc.ecore;;;;;;;;;;;;;2059176;2010831;40319;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;80863;14203;35363;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;40510;252;36809;
pom.ecore;55;0;39;55;137;1;3;47.0;1.0256411;22.02564;0.03517588;124.0;563257;72663;33443;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;45811;1307;37446;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;45358;398;37813;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;45390;2893;38700;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;7.0;0.0;17.0;135508;431;34962;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;51326;11495;38627;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;59449;7047;38381;
glucose.ecore;5;2;6;7;36;1;2;10.4;1.5;9.5;0.35820895;15.0;92516;1176;36202;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;46356;568;38774;
SVG.ecore;2;0;85;2;399;10;1;99.4;5.0588236;5.0588236;0.8941394;4.0;2668218;1932302;39185;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;46406;209;39058;
fxg.ecore;37;0;52;37;269;4;3;73.0;2.5576923;3.5576923;0.19685039;82.0;756648;636925;35011;
com.ibm.commerce.member.datatypes.ecore;31;0;9;31;33;1;2;15.2;1.2222222;3.2222223;0.0;51.0;67002;0;38111;
activityDiagram.ecore;;;;;;;;;;;;;-1;0;0;
ATL.ecore;;;;;;;;;;;;;-1;0;0;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;54915;1442;38249;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;43797;379;39349;
com.ibm.commerce.foundation.datatypes.ecore;59;0;32;59;56;1;3;30.2;1.0625;3.0625;0.049586777;25.0;60066;13208;38194;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
